Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
1814,172,2,2,1,0,1,2,0,2,1,4,3,4,4,4,4,4,1,1,2,3,2,1,2,1,0,0,292
543,85,1,2,1,0,1,2,1,3,1,1,2,5,5,5,5,4,3,4,5,1,3,2,5,2,1,3,292
2365,1435,1,3,1,0,3,2,1,3,1,3,1,5,4,5,3,3,3,3,3,4,3,4,1,1,0,0,292
578,364,1,3,1,2,2,1,2,3,1,4,3,4,5,5,5,2,2,1,1,1,1,4,5,2,1,2,292
2596,371,1,2,1,0,1,0,2,2,3,4,3,5,5,5,3,2,1,2,4,3,4,5,2,0,0,0,150
915,204,2,0,1,0,1,2,0,2,1,4,1,5,5,5,5,5,2,1,1,1,2,4,4,2,0,1,292
15,147,2,3,1,0,1,0,0,2,2,2,3,4,4,4,4,4,2,1,2,2,2,4,4,3,0,0,292
1643,195,2,3,1,0,3,1,2,3,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,242
1604,76,2,3,1,0,2,1,1,2,2,4,2,4,4,3,3,3,1,4,2,1,1,1,3,1,2,4,292
1314,1019,2,3,1,4,2,0,2,1,3,5,1,4,3,3,4,5,3,1,1,1,1,5,3,2,0,0,292
2380,1489,2,0,1,0,3,1,0,2,2,3,1,4,4,3,4,3,1,1,1,1,1,1,4,1,0,0,171
2591,358,1,3,1,0,1,0,1,2,2,4,3,5,4,5,5,4,1,1,1,1,4,3,5,0,0,0,150
1902,415,2,3,1,0,3,0,0,2,1,2,2,5,5,5,4,5,2,1,4,2,3,4,3,1,0,1,292
1900,409,2,3,1,2,3,1,2,2,3,4,2,3,4,4,5,4,1,1,4,2,3,4,4,1,0,0,292
868,79,1,2,1,1,2,1,1,2,1,4,1,4,4,4,3,4,1,1,1,1,1,4,3,2,0,0,292
1774,75,1,2,1,2,1,0,2,2,2,2,2,5,5,5,2,3,2,4,3,2,4,4,1,1,0,0,292
586,418,1,2,1,5,3,2,2,2,1,3,1,4,4,5,4,5,2,4,2,2,4,3,2,2,1,1,292
1919,442,1,2,1,1,2,1,2,3,1,3,1,4,3,4,4,4,1,1,1,1,1,3,3,1,0,0,292
2582,340,2,3,1,2,1,2,0,2,1,4,1,5,3,4,5,5,2,1,3,1,2,5,5,0,0,0,292
1916,435,1,0,1,3,3,0,0,2,1,5,1,4,2,4,5,5,1,1,1,1,1,4,3,1,0,0,292
909,193,2,2,1,0,1,0,0,3,2,5,5,4,3,4,5,3,1,1,3,1,2,3,5,2,0,0,292
870,86,2,2,1,0,3,0,0,2,3,4,3,4,4,4,4,4,3,2,3,3,3,4,5,2,0,0,62
2775,805,1,2,1,0,1,1,1,2,1,2,3,3,2,2,4,5,3,1,3,3,1,4,4,0,0,0,292
2526,173,2,3,1,5,2,1,0,2,4,3,2,5,3,5,4,3,2,2,3,1,1,4,2,0,0,0,292
1903,416,1,3,1,0,1,2,1,1,1,5,1,4,5,3,4,5,2,1,4,1,1,5,5,1,0,0,292
26,200,1,3,1,1,1,2,0,2,3,4,3,5,5,3,5,2,1,1,4,4,1,4,4,3,0,0,292
1674,659,1,3,1,1,1,0,2,3,5,4,4,5,4,4,5,1,1,1,5,4,2,4,3,1,1,1,292
874,97,1,1,1,1,3,1,1,2,4,4,4,5,3,3,5,4,1,1,1,4,2,5,5,2,0,1,292
1844,238,1,3,1,2,2,1,0,3,4,5,4,3,4,3,5,4,3,1,2,4,4,5,2,1,0,0,292
550,115,1,3,1,0,3,2,1,2,4,4,5,5,4,4,5,2,3,2,2,4,1,3,3,2,1,0,88
2597,374,1,3,1,1,0,2,0,1,4,5,4,4,5,4,5,2,4,1,2,4,1,5,3,0,0,0,292
900,174,2,1,1,1,1,2,1,3,4,5,2,2,4,4,5,5,4,1,1,1,3,5,4,2,0,0,292
1644,253,2,1,1,0,2,1,2,2,3,4,2,4,4,4,4,2,3,3,3,4,3,3,3,1,1,2,292
2493,107,1,3,1,0,3,0,1,3,1,3,3,5,5,4,5,5,1,3,5,1,4,4,4,0,0,0,292
905,183,1,3,1,2,2,1,0,3,4,4,4,5,5,5,5,5,1,4,5,2,4,5,3,2,0,0,292
1101,643,1,2,1,1,2,1,1,3,4,3,3,4,5,5,5,3,2,2,2,1,3,4,5,2,0,0,279
46,373,1,2,1,5,2,0,0,2,3,4,1,4,4,4,2,2,2,1,2,2,2,4,3,3,0,0,292
57,424,2,3,1,0,1,2,0,3,1,1,2,4,3,3,4,4,2,2,3,2,3,4,4,3,0,0,292
9,84,1,2,1,0,0,2,0,2,2,2,1,4,3,4,5,4,1,1,3,2,2,4,3,3,0,0,292
2444,431,1,3,1,3,3,1,0,2,2,5,2,4,3,1,4,3,4,1,1,1,1,3,2,0,1,1,292
2567,314,2,0,1,0,1,0,1,2,1,4,3,4,3,4,4,5,2,5,2,3,3,4,4,0,0,0,151
878,112,2,3,1,0,2,1,0,2,2,5,1,5,4,4,5,3,5,1,1,4,1,5,4,2,0,0,292
1783,95,1,0,1,0,0,2,0,2,3,4,3,5,5,5,5,3,3,2,3,3,2,2,3,1,0,0,292
48,383,1,3,1,0,0,2,0,2,4,4,5,5,2,2,5,4,2,1,1,3,5,1,5,3,0,0,292
1802,154,2,3,1,1,3,0,1,2,2,5,3,5,4,5,5,5,1,1,2,2,2,4,4,1,0,1,292
934,234,1,3,1,0,3,2,0,2,2,1,3,4,4,4,4,4,4,1,1,1,1,3,3,2,0,0,292
2531,191,2,3,1,0,1,0,0,3,2,4,1,5,1,3,5,4,1,1,1,4,4,4,4,0,0,0,292
1825,189,1,2,1,0,1,2,1,3,1,4,2,3,2,2,5,5,1,1,1,1,1,4,3,1,0,0,292
2310,1323,2,2,1,1,3,2,0,2,2,5,1,5,4,3,5,2,1,1,1,1,1,1,1,1,0,0,292
323,701,1,3,1,5,2,1,2,1,5,4,2,2,5,3,2,2,4,1,1,2,1,4,4,2,3,3,292
1773,73,2,3,1,1,2,0,1,2,4,5,2,5,5,5,5,3,2,1,1,1,1,3,2,1,0,1,292
872,90,1,3,1,1,3,1,0,3,2,2,1,3,2,3,2,2,2,1,2,2,2,2,2,2,0,0,292
1826,190,1,3,1,1,1,2,2,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,292
1820,185,1,3,1,0,2,0,0,3,4,5,3,5,3,5,5,2,1,1,3,3,1,5,3,1,0,0,226
898,170,1,3,1,0,2,1,0,2,3,5,4,5,5,5,5,4,1,1,1,4,3,5,3,2,0,0,292
1787,106,1,3,1,2,3,2,1,2,1,5,1,5,4,4,4,4,1,3,1,1,1,4,1,1,0,0,292
1776,78,2,0,1,0,3,0,0,2,1,4,3,4,4,4,4,5,1,1,1,1,1,4,4,1,0,0,292
871,87,1,3,1,0,2,1,0,2,2,4,4,4,4,4,5,5,4,1,2,3,3,3,4,2,0,0,292
1361,1158,1,3,1,1,1,2,1,3,1,5,5,3,5,3,2,5,5,3,5,5,2,5,3,2,0,0,292
1797,122,2,0,1,0,3,0,0,2,2,4,2,4,4,4,5,5,2,1,2,2,2,3,3,1,0,0,227
875,98,1,3,1,0,2,1,2,3,1,3,2,5,2,4,5,5,1,1,1,1,3,5,4,2,0,1,61
978,331,2,3,1,2,2,1,0,2,2,2,1,4,4,4,5,4,4,4,4,3,3,4,3,2,0,0,292
947,252,1,3,1,3,3,1,0,3,1,3,2,4,4,4,4,3,4,1,4,3,2,4,2,2,0,0,292
2512,148,1,3,1,0,3,1,0,2,3,1,2,3,3,3,3,3,2,1,2,2,2,2,2,0,0,0,158
1769,65,1,3,1,3,3,1,1,3,1,4,2,5,5,5,5,4,2,1,1,1,1,3,2,1,0,0,292
3,317,1,3,1,1,0,1,0,2,1,3,3,5,4,4,5,5,2,1,4,4,3,4,2,3,1,0,292
2484,82,2,3,1,1,2,1,1,2,1,3,2,3,3,4,3,2,3,3,4,4,4,2,3,0,0,0,292
2501,119,2,0,1,1,1,0,0,2,1,2,1,4,4,4,4,4,1,1,4,1,4,4,2,0,0,0,159
1001,396,1,2,1,1,2,1,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,2,0,0,292
1815,175,1,0,1,1,2,1,0,2,4,5,3,5,3,5,5,4,2,1,3,1,2,4,4,1,0,0,292
2530,187,2,3,1,2,1,0,1,3,1,5,2,5,2,5,5,5,1,1,4,2,1,5,3,0,0,0,156
2497,114,2,3,1,0,1,2,1,2,1,4,3,5,5,5,5,5,1,1,3,3,3,3,3,0,0,0,292
352,1058,1,3,1,4,3,1,1,1,3,2,4,2,3,3,4,3,4,1,4,3,3,3,3,2,3,1,96
1784,103,1,0,1,1,2,1,0,3,4,4,4,5,5,5,5,5,1,1,1,1,3,5,5,1,0,0,292
922,219,1,0,1,2,2,1,0,2,1,4,2,5,5,5,5,4,2,1,3,1,2,4,2,2,0,0,54
1654,394,1,3,1,5,3,1,0,3,2,3,2,3,2,3,4,4,2,2,5,4,3,3,3,1,1,0,292
938,240,2,0,1,0,0,2,0,3,3,2,3,4,5,4,4,4,1,1,2,3,3,3,5,2,0,0,292
2694,633,1,3,1,3,3,0,1,3,2,2,1,1,1,2,3,2,2,1,1,2,1,2,2,0,0,0,143
33,272,1,2,1,1,0,1,0,2,4,4,1,1,1,1,1,4,1,2,1,1,4,4,3,3,0,0,97
1349,1122,1,0,1,1,2,1,0,3,1,4,2,4,3,4,5,5,2,1,2,1,3,2,4,2,0,0,292
2829,906,1,3,1,1,0,1,0,1,4,5,5,4,4,3,4,4,5,3,3,4,3,3,3,0,0,0,292
867,77,2,2,1,1,2,1,1,2,4,4,3,4,4,4,4,4,1,1,2,1,1,4,3,2,0,0,63
1114,663,2,2,1,0,2,1,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,2,0,0,292
1770,66,2,2,1,1,2,0,0,2,2,4,2,4,4,4,4,4,1,2,2,2,2,3,4,1,0,0,292
2534,194,2,2,1,0,0,2,0,2,1,5,2,4,4,4,4,5,3,1,1,2,1,4,4,0,0,0,292
1010,412,2,3,1,1,3,1,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,2,0,1,0
1777,80,2,0,1,1,3,0,0,2,2,3,2,5,2,5,4,5,1,2,1,1,1,5,4,1,0,0,292
3093,1488,2,3,1,1,1,2,0,2,5,5,1,5,1,3,5,5,5,1,1,1,1,5,3,0,0,0,102
546,93,1,3,1,4,3,2,1,3,3,3,3,3,3,4,5,5,4,3,3,3,3,3,1,2,1,1,292
2959,1184,2,0,1,0,3,2,0,3,1,4,4,4,4,3,5,4,2,1,2,2,2,3,5,0,0,0,292
545,92,2,3,1,1,2,1,2,2,2,4,2,5,4,5,4,2,2,2,4,2,2,2,2,2,1,0,292
1316,1029,1,1,1,1,3,1,0,3,3,4,2,4,5,5,5,4,4,1,5,5,5,5,5,2,0,0,292
1884,356,1,0,1,0,3,1,0,2,3,4,3,4,4,5,4,4,3,3,3,3,3,4,4,1,0,0,292
2508,141,2,3,1,0,3,0,0,2,2,4,5,3,4,3,4,4,2,1,1,3,2,3,3,0,0,0,292
547,99,2,2,1,3,2,1,1,3,1,1,1,5,4,5,4,5,3,2,1,1,1,3,2,2,1,1,292
1,0,1,0,1,2,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,292
910,197,2,0,1,0,2,0,2,3,2,4,2,3,3,3,2,4,4,1,1,1,2,4,2,2,0,1,55
601,542,2,3,1,1,2,1,2,2,3,5,2,5,3,3,5,1,3,3,4,4,3,3,3,2,1,4,292
1926,455,2,3,1,2,3,1,0,3,2,5,2,5,5,5,4,2,5,1,1,1,1,3,3,1,0,0,292
968,304,2,0,1,0,3,0,2,3,1,4,1,4,4,4,4,3,3,1,4,3,3,4,3,2,0,0,46
1897,401,2,0,1,1,3,2,0,2,1,2,1,4,2,4,5,5,2,1,2,2,2,5,4,1,0,0,292
1813,169,2,0,1,0,2,1,0,2,1,4,3,5,4,4,5,5,1,1,1,3,2,3,4,1,0,0,292
288,32,2,3,1,0,2,1,3,2,3,2,1,5,4,5,4,3,2,2,3,4,4,4,4,2,4,4,292
1771,69,1,0,1,0,1,2,0,2,1,4,3,5,5,5,5,5,3,1,3,3,2,4,3,1,0,0,292
1790,110,1,0,1,2,2,1,1,3,1,5,1,3,3,3,4,4,5,1,1,1,2,3,3,1,0,0,292
8,68,2,3,1,0,0,2,0,2,2,5,1,3,4,5,5,1,4,1,1,1,3,5,2,3,0,0,292
913,202,2,2,1,0,2,1,0,3,4,4,4,4,4,4,2,4,2,1,1,1,3,4,2,2,0,0,292
1755,1466,2,3,1,0,1,2,1,2,2,5,4,4,4,3,4,2,3,1,1,3,1,5,5,1,1,0,292
1671,647,1,3,1,0,2,1,2,3,4,5,1,4,3,4,5,2,4,5,5,2,3,3,4,1,1,3,292
582,381,1,3,1,0,2,1,1,2,2,3,2,5,4,5,5,5,3,3,3,3,4,4,3,2,1,2,86
55,414,1,0,1,1,0,1,0,3,1,5,1,5,4,5,5,5,1,1,3,1,3,4,1,3,0,0,292
2434,1512,1,2,1,2,1,2,2,2,2,4,5,4,4,4,5,4,5,4,3,4,3,4,3,0,3,4,292
2566,313,2,0,1,0,0,2,0,1,1,4,1,4,2,2,4,5,2,2,2,1,2,5,4,0,0,0,151
24,192,2,3,1,1,3,1,0,2,2,4,3,5,1,3,4,4,1,1,4,3,2,4,4,3,0,0,292
2482,72,2,3,1,1,3,2,1,2,1,4,2,4,4,4,2,4,4,1,4,2,2,4,2,0,0,0,160
1789,109,2,0,1,2,2,1,1,3,1,5,1,4,4,3,5,5,1,1,1,1,1,3,1,1,0,0,229
3140,124,1,0,1,0,3,2,1,2,3,4,3,3,3,3,4,4,3,2,2,2,2,4,4,0,0,0,292
2485,88,2,3,1,1,1,0,1,2,1,4,5,5,5,5,5,5,4,1,2,1,2,4,5,0,0,0,160
2372,1457,1,3,1,2,3,0,1,2,1,4,1,4,3,4,5,5,1,1,4,1,2,3,3,1,0,0,171
956,271,1,2,1,3,3,0,2,2,3,3,2,4,4,4,5,4,2,2,4,3,3,4,3,2,0,0,48
877,104,1,3,1,1,2,1,1,2,4,4,3,4,3,4,4,4,2,1,1,1,1,3,4,2,0,0,292
1816,181,1,0,1,0,2,0,0,1,5,4,4,5,5,3,5,4,4,1,1,1,1,4,3,1,0,0,292
25,199,1,0,1,2,2,2,0,3,1,3,3,3,3,3,3,3,2,2,2,1,2,3,2,3,0,0,292
733,1142,2,3,1,1,2,1,3,1,4,2,2,4,4,2,3,1,2,3,3,3,4,3,2,2,1,4,292
987,350,2,3,1,0,2,0,1,2,3,4,3,4,3,3,5,5,4,1,1,3,3,4,4,2,0,0,292
1870,316,2,3,1,0,3,0,1,2,2,3,2,4,3,4,4,4,3,1,2,2,2,3,4,1,0,0,222
227,1456,2,3,1,1,2,1,0,3,4,4,2,5,4,3,5,4,2,1,4,1,3,4,4,3,0,0,184
1778,81,2,1,1,5,3,1,0,3,4,4,4,4,4,1,4,3,4,1,1,1,1,4,1,1,0,0,292
1812,168,1,3,1,0,3,0,0,3,4,3,5,5,5,5,5,3,4,1,3,4,4,5,3,1,0,1,292
422,648,1,0,1,3,2,0,2,3,1,3,1,3,3,3,4,3,1,1,1,1,2,3,1,2,2,2,292
1002,398,1,1,1,1,2,1,1,3,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,2,0,0,292
2542,216,1,1,1,0,1,0,1,3,2,4,2,4,4,3,4,3,3,1,3,3,1,4,1,0,0,0,155
1823,188,1,2,1,1,1,0,0,2,1,4,1,4,3,3,4,4,2,1,1,1,1,3,2,1,0,0,292
911,198,1,2,1,0,1,1,1,2,1,2,3,5,5,5,4,4,4,1,4,3,2,4,5,2,0,0,55
865,71,2,2,1,4,2,1,0,3,2,2,1,5,3,5,4,2,2,3,4,2,3,2,2,2,0,0,292
920,217,2,3,1,5,2,1,0,3,1,4,1,5,4,3,5,5,2,1,2,1,1,3,3,2,0,0,292
1818,182,1,0,1,1,3,1,0,2,1,4,3,3,1,3,5,4,1,2,2,1,3,3,3,1,0,0,292
243,123,2,2,1,2,2,1,3,2,4,5,2,5,5,5,4,1,4,1,4,2,4,2,1,2,4,4,292
1780,83,1,3,1,0,1,2,1,2,2,4,3,5,4,4,5,4,2,1,3,2,2,4,4,1,0,0,229
1183,785,1,3,1,2,2,1,2,3,4,4,3,5,5,4,5,3,2,1,1,1,3,3,3,2,0,1,292
2568,315,2,0,1,0,1,1,0,2,2,4,3,4,4,4,5,4,2,4,3,3,3,3,4,0,0,0,292
2494,111,1,0,1,0,2,0,0,3,1,3,2,4,4,3,4,4,1,2,2,3,1,4,3,0,0,0,292
2481,67,1,2,1,1,1,1,0,1,1,1,1,4,5,5,2,4,1,4,4,1,1,1,3,0,0,0,292
904,178,2,0,1,0,1,2,0,3,1,3,1,5,3,5,5,5,2,1,1,1,1,4,2,2,0,0,292
912,201,1,3,1,5,2,1,0,2,2,5,4,2,2,4,5,4,4,2,2,2,2,4,4,2,0,0,292
2491,101,2,3,1,1,1,0,1,2,2,4,3,4,4,4,4,4,2,1,1,1,3,4,3,0,0,0,292
1266,929,1,1,1,0,2,1,1,3,1,1,2,5,5,3,5,3,1,2,1,2,2,4,3,2,0,0,268
1445,1331,1,3,1,1,3,1,2,2,1,3,1,5,5,5,3,4,1,4,4,4,4,4,2,2,0,1,269
1841,224,2,3,1,1,3,0,0,2,1,2,2,3,3,5,4,5,1,3,2,2,3,4,2,1,0,0,225
899,171,2,3,1,1,2,1,0,3,1,5,2,4,4,4,3,3,3,2,4,3,2,4,1,2,0,0,292
840,1518,2,0,5,5,2,1,2,2,1,3,1,4,1,4,5,5,1,3,1,1,5,5,5,2,1,2,292
2469,1356,1,3,5,0,3,0,1,2,2,4,5,5,5,5,2,4,5,1,2,5,4,3,4,0,1,2,162
3080,1464,2,2,5,0,1,0,0,2,1,3,1,4,4,4,4,5,2,1,3,2,4,5,4,0,0,0,104
1099,641,1,0,5,0,1,2,0,2,2,4,2,4,4,5,4,5,2,1,1,1,1,1,4,2,0,0,292
285,1526,0,3,5,1,3,0,4,1,4,5,1,4,5,5,4,2,4,1,4,1,1,4,1,2,4,4,129
